expiry,strike,type,close
2/3/2021,13600,Call,2160
2/3/2021,13600,Put,0.1
2/3/2021,13700,Call,2060
2/3/2021,13700,Put,0.1
2/3/2021,13800,Call,1960
2/3/2021,13800,Put,0.1
2/3/2021,13900,Call,1860
2/3/2021,13900,Put,0.2
2/3/2021,14000,Call,1760
2/3/2021,14000,Put,0.2
2/3/2021,14100,Call,1660
2/3/2021,14100,Put,0.2
2/3/2021,14200,Call,1560
2/3/2021,14200,Put,0.2
2/3/2021,14300,Call,1460
2/3/2021,14300,Put,0.2
2/3/2021,14400,Call,1360
2/3/2021,14400,Put,0.3
2/3/2021,14500,Call,1260
2/3/2021,14500,Put,0.4
2/3/2021,14600,Call,1160
2/3/2021,14600,Put,0.5
2/3/2021,14700,Call,1060
2/3/2021,14700,Put,0.5
2/3/2021,14750,Call,1010
2/3/2021,14750,Put,0.7
2/3/2021,14800,Call,960
2/3/2021,14800,Put,0.7
2/3/2021,14850,Call,910
2/3/2021,14850,Put,0.8
2/3/2021,14900,Call,860
2/3/2021,14900,Put,1
2/3/2021,14950,Call,810
2/3/2021,14950,Put,1
2/3/2021,15000,Call,760
2/3/2021,15000,Put,1.2
2/3/2021,15050,Call,710
2/3/2021,15050,Put,1.4
2/3/2021,15100,Call,660
2/3/2021,15100,Put,1.6
2/3/2021,15150,Call,610
2/3/2021,15150,Put,1.9
2/3/2021,15200,Call,560
2/3/2021,15200,Put,2.1
2/3/2021,15250,Call,510
2/3/2021,15250,Put,2.4
2/3/2021,15300,Call,464
2/3/2021,15300,Put,3
2/3/2021,15350,Call,416
2/3/2021,15350,Put,3.7
2/3/2021,15400,Call,367
2/3/2021,15400,Put,5.3
2/3/2021,15450,Call,320
2/3/2021,15450,Put,6.9
2/3/2021,15500,Call,270
2/3/2021,15500,Put,10
2/3/2021,15550,Call,226
2/3/2021,15550,Put,14.5
2/3/2021,15600,Call,185
2/3/2021,15600,Put,22.5
2/3/2021,15650,Call,144
2/3/2021,15650,Put,35
2/3/2021,15700,Call,110
2/3/2021,15700,Put,48.5
2/3/2021,15750,Call,82
2/3/2021,15750,Put,70
2/3/2021,15800,Call,56
2/3/2021,15800,Put,93
2/3/2021,15850,Call,36.5
2/3/2021,15850,Put,125
2/3/2021,15900,Call,23.5
2/3/2021,15900,Put,166
2/3/2021,15950,Call,14.5
2/3/2021,15950,Put,203
2/3/2021,16000,Call,8.9
2/3/2021,16000,Put,249
2/3/2021,16050,Call,5.5
2/3/2021,16050,Put,291
2/3/2021,16100,Call,3.3
2/3/2021,16100,Put,340
2/3/2021,16150,Call,2
2/3/2021,16150,Put,390
2/3/2021,16200,Call,1.5
2/3/2021,16200,Put,440
2/3/2021,16300,Call,0.9
2/3/2021,16300,Put,540
2/3/2021,16400,Call,0.5
2/3/2021,16400,Put,640
2/3/2021,16500,Call,0.5
2/3/2021,16500,Put,740
2/3/2021,16600,Call,0.5
2/3/2021,16600,Put,840
2/3/2021,16700,Call,0.3
2/3/2021,16700,Put,940
2/3/2021,16800,Call,0.1
2/3/2021,16800,Put,1040
2/3/2021,16900,Call,0.1
2/3/2021,16900,Put,1140
2/3/2021,17000,Call,0.1
2/3/2021,17000,Put,1240
2/3/2021,17100,Call,0.1
2/3/2021,17100,Put,1340
2/3/2021,17200,Call,0.1
2/3/2021,17200,Put,1440
2/3/2021,17300,Call,0.1
2/3/2021,17300,Put,1540
2/17/2021,11600,Call,4150
2/17/2021,11600,Put,0.8
2/17/2021,11700,Call,4050
2/17/2021,11700,Put,1
2/17/2021,11800,Call,3950
2/17/2021,11800,Put,1.3
2/17/2021,11900,Call,3850
2/17/2021,11900,Put,1.5
2/17/2021,12000,Call,3750
2/17/2021,12000,Put,1.5
2/17/2021,12100,Call,3650
2/17/2021,12100,Put,1.6
2/17/2021,12200,Call,3550
2/17/2021,12200,Put,1.6
2/17/2021,12300,Call,3450
2/17/2021,12300,Put,1.6
2/17/2021,12400,Call,3350
2/17/2021,12400,Put,1.8
2/17/2021,12500,Call,3250
2/17/2021,12500,Put,1.9
2/17/2021,12600,Call,3150
2/17/2021,12600,Put,2.1
2/17/2021,12700,Call,3050
2/17/2021,12700,Put,2.2
2/17/2021,12800,Call,2950
2/17/2021,12800,Put,2.3
2/17/2021,12900,Call,2850
2/17/2021,12900,Put,2.6
2/17/2021,13000,Call,2750
2/17/2021,13000,Put,2.9
2/17/2021,13100,Call,2660
2/17/2021,13100,Put,3.2
2/17/2021,13200,Call,2560
2/17/2021,13200,Put,3.5
2/17/2021,13300,Call,2460
2/17/2021,13300,Put,4.4
2/17/2021,13400,Call,2360
2/17/2021,13400,Put,4.5
2/17/2021,13500,Call,2260
2/17/2021,13500,Put,4.5
2/17/2021,13600,Call,2160
2/17/2021,13600,Put,4.7
2/17/2021,13700,Call,2060
2/17/2021,13700,Put,5.5
2/17/2021,13800,Call,1960
2/17/2021,13800,Put,6.7
2/17/2021,13900,Call,1860
2/17/2021,13900,Put,7.3
2/17/2021,14000,Call,1760
2/17/2021,14000,Put,8.7
2/17/2021,14100,Call,1660
2/17/2021,14100,Put,10.5
2/17/2021,14200,Call,1560
2/17/2021,14200,Put,13
2/17/2021,14300,Call,1470
2/17/2021,14300,Put,15.5
2/17/2021,14400,Call,1370
2/17/2021,14400,Put,18.5
2/17/2021,14500,Call,1270
2/17/2021,14500,Put,21.5
2/17/2021,14600,Call,1180
2/17/2021,14600,Put,26.5
2/17/2021,14700,Call,1080
2/17/2021,14700,Put,32.5
2/17/2021,14800,Call,990
2/17/2021,14800,Put,40
2/17/2021,14900,Call,900
2/17/2021,14900,Put,48.5
2/17/2021,15000,Call,810
2/17/2021,15000,Put,60
2/17/2021,15100,Call,720
2/17/2021,15100,Put,73
2/17/2021,15200,Call,640
2/17/2021,15200,Put,85
2/17/2021,15300,Call,555
2/17/2021,15300,Put,108
2/17/2021,15400,Call,480
2/17/2021,15400,Put,127
2/17/2021,15500,Call,407
2/17/2021,15500,Put,155
2/17/2021,15600,Call,343
2/17/2021,15600,Put,188
2/17/2021,15700,Call,281
2/17/2021,15700,Put,226
2/17/2021,15800,Call,224
2/17/2021,15800,Put,274
2/17/2021,15900,Call,174
2/17/2021,15900,Put,324
2/17/2021,16000,Call,138
2/17/2021,16000,Put,387
2/17/2021,16100,Call,103
2/17/2021,16100,Put,451
2/17/2021,16200,Call,76
2/17/2021,16200,Put,525
2/17/2021,16300,Call,56
2/17/2021,16300,Put,605
2/17/2021,16400,Call,38.5
2/17/2021,16400,Put,685
2/17/2021,16500,Call,28
2/17/2021,16500,Put,775
2/17/2021,16600,Call,19.5
2/17/2021,16600,Put,865
2/17/2021,16700,Call,14.5
2/17/2021,16700,Put,960
2/17/2021,16800,Call,10.5
2/17/2021,16800,Put,1060
2/17/2021,16900,Call,8.7
2/17/2021,16900,Put,1160
2/17/2021,17000,Call,6.5
2/17/2021,17000,Put,1250
2/17/2021,17100,Call,5.3
2/17/2021,17100,Put,1350
2/17/2021,17200,Call,4.2
2/17/2021,17200,Put,1450
2/17/2021,17300,Call,3.7
2/17/2021,17300,Put,1550
2/17/2021,17400,Call,3
2/17/2021,17400,Put,1650
2/17/2021,17500,Call,2.5
2/17/2021,17500,Put,1750
2/17/2021,17600,Call,2.5
2/17/2021,17600,Put,1850
2/17/2021,17700,Call,2.3
2/17/2021,17700,Put,1950
2/17/2021,17800,Call,2
2/17/2021,17800,Put,2050
2/17/2021,17900,Call,2
2/17/2021,17900,Put,2150
2/17/2021,18000,Call,1.9
2/17/2021,18000,Put,2250
2/17/2021,18100,Call,1.5
2/17/2021,18100,Put,2350
2/17/2021,18200,Call,1.3
2/17/2021,18200,Put,2450
2/17/2021,18300,Call,1.2
2/17/2021,18300,Put,2550
2/17/2021,18400,Call,1.1
2/17/2021,18400,Put,2650
2/17/2021,18500,Call,1
2/17/2021,18500,Put,2750
2/17/2021,18600,Call,0.9
2/17/2021,18600,Put,2850
3/17/2021,9200,Call,6490
3/17/2021,9200,Put,8.9
3/17/2021,9400,Call,6290
3/17/2021,9400,Put,9
3/17/2021,9600,Call,6090
3/17/2021,9600,Put,9.1
3/17/2021,9800,Call,5890
3/17/2021,9800,Put,9.3
3/17/2021,10000,Call,5690
3/17/2021,10000,Put,11
3/17/2021,10200,Call,5490
3/17/2021,10200,Put,11.5
3/17/2021,10400,Call,5290
3/17/2021,10400,Put,12
3/17/2021,10600,Call,5090
3/17/2021,10600,Put,13.5
3/17/2021,10800,Call,4890
3/17/2021,10800,Put,14
3/17/2021,11000,Call,4700
3/17/2021,11000,Put,16
3/17/2021,11200,Call,4500
3/17/2021,11200,Put,16.5
3/17/2021,11400,Call,4300
3/17/2021,11400,Put,17
3/17/2021,11600,Call,4100
3/17/2021,11600,Put,20
3/17/2021,11800,Call,3900
3/17/2021,11800,Put,21
3/17/2021,12000,Call,3710
3/17/2021,12000,Put,25.5
3/17/2021,12100,Call,3610
3/17/2021,12100,Put,27
3/17/2021,12200,Call,3510
3/17/2021,12200,Put,29
3/17/2021,12300,Call,3410
3/17/2021,12300,Put,31
3/17/2021,12400,Call,3310
3/17/2021,12400,Put,34
3/17/2021,12500,Call,3210
3/17/2021,12500,Put,35.5
3/17/2021,12600,Call,3120
3/17/2021,12600,Put,37
3/17/2021,12700,Call,3020
3/17/2021,12700,Put,39
3/17/2021,12800,Call,2920
3/17/2021,12800,Put,40.5
3/17/2021,12900,Call,2830
3/17/2021,12900,Put,44.5
3/17/2021,13000,Call,2730
3/17/2021,13000,Put,48.5
3/17/2021,13100,Call,2630
3/17/2021,13100,Put,51
3/17/2021,13200,Call,2530
3/17/2021,13200,Put,53
3/17/2021,13300,Call,2440
3/17/2021,13300,Put,60
3/17/2021,13400,Call,2340
3/17/2021,13400,Put,63
3/17/2021,13500,Call,2240
3/17/2021,13500,Put,72
3/17/2021,13600,Call,2160
3/17/2021,13600,Put,77
3/17/2021,13700,Call,2070
3/17/2021,13700,Put,85
3/17/2021,13800,Call,1970
3/17/2021,13800,Put,91
3/17/2021,13900,Call,1880
3/17/2021,13900,Put,101
3/17/2021,14000,Call,1790
3/17/2021,14000,Put,110
3/17/2021,14100,Call,1700
3/17/2021,14100,Put,120
3/17/2021,14200,Call,1610
3/17/2021,14200,Put,129
3/17/2021,14300,Call,1520
3/17/2021,14300,Put,140
3/17/2021,14400,Call,1430
3/17/2021,14400,Put,152
3/17/2021,14500,Call,1350
3/17/2021,14500,Put,167
3/17/2021,14600,Call,1260
3/17/2021,14600,Put,183
3/17/2021,14700,Call,1180
3/17/2021,14700,Put,198
3/17/2021,14800,Call,1100
3/17/2021,14800,Put,217
3/17/2021,14900,Call,1020
3/17/2021,14900,Put,240
3/17/2021,15000,Call,940
3/17/2021,15000,Put,256
3/17/2021,15100,Call,865
3/17/2021,15100,Put,283
3/17/2021,15200,Call,790
3/17/2021,15200,Put,307
3/17/2021,15300,Call,715
3/17/2021,15300,Put,337
3/17/2021,15400,Call,650
3/17/2021,15400,Put,367
3/17/2021,15500,Call,585
3/17/2021,15500,Put,403
3/17/2021,15600,Call,520
3/17/2021,15600,Put,438
3/17/2021,15700,Call,463
3/17/2021,15700,Put,483
3/17/2021,15800,Call,410
3/17/2021,15800,Put,525
3/17/2021,15900,Call,362
3/17/2021,15900,Put,580
3/17/2021,16000,Call,316
3/17/2021,16000,Put,630
3/17/2021,16100,Call,274
3/17/2021,16100,Put,690
3/17/2021,16200,Call,238
3/17/2021,16200,Put,755
3/17/2021,16300,Call,205
3/17/2021,16300,Put,825
3/17/2021,16400,Call,176
3/17/2021,16400,Put,895
3/17/2021,16500,Call,146
3/17/2021,16500,Put,965
3/17/2021,16600,Call,127
3/17/2021,16600,Put,1040
3/17/2021,16700,Call,107
3/17/2021,16700,Put,1120
3/17/2021,16800,Call,89
3/17/2021,16800,Put,1210
3/17/2021,16900,Call,72
3/17/2021,16900,Put,1290
3/17/2021,17000,Call,60
3/17/2021,17000,Put,1380
3/17/2021,17100,Call,55
3/17/2021,17100,Put,1470
3/17/2021,17200,Call,44
3/17/2021,17200,Put,1560
3/17/2021,17300,Call,40.5
3/17/2021,17300,Put,1660
3/17/2021,17400,Call,35.5
3/17/2021,17400,Put,1750
3/17/2021,17500,Call,29.5
3/17/2021,17500,Put,1850
3/17/2021,17600,Call,26.5
3/17/2021,17600,Put,1940
3/17/2021,17700,Call,25
3/17/2021,17700,Put,2040
3/17/2021,17800,Call,19.5
3/17/2021,17800,Put,2140
3/17/2021,17900,Call,18
3/17/2021,17900,Put,2230
3/17/2021,18000,Call,16
3/17/2021,18000,Put,2330
3/17/2021,18100,Call,15
3/17/2021,18100,Put,2430
3/17/2021,18200,Call,13.5
3/17/2021,18200,Put,2530
3/17/2021,18300,Call,12
3/17/2021,18300,Put,2630
3/17/2021,18400,Call,9.5
3/17/2021,18400,Put,2720
3/17/2021,18500,Call,7.5
3/17/2021,18500,Put,2820
3/17/2021,18600,Call,4.8
3/17/2021,18600,Put,2920
4/21/2021,12800,Call,2910
4/21/2021,12800,Put,86
4/21/2021,12900,Call,2820
4/21/2021,12900,Put,92
4/21/2021,13000,Call,2720
4/21/2021,13000,Put,100
4/21/2021,13100,Call,2640
4/21/2021,13100,Put,113
4/21/2021,13200,Call,2540
4/21/2021,13200,Put,114
4/21/2021,13300,Call,2440
4/21/2021,13300,Put,116
4/21/2021,13400,Call,2350
4/21/2021,13400,Put,123
4/21/2021,13500,Call,2260
4/21/2021,13500,Put,133
4/21/2021,13600,Call,2170
4/21/2021,13600,Put,148
4/21/2021,13700,Call,2090
4/21/2021,13700,Put,164
4/21/2021,13800,Call,2010
4/21/2021,13800,Put,181
4/21/2021,13900,Call,1920
4/21/2021,13900,Put,194
4/21/2021,14000,Call,1830
4/21/2021,14000,Put,202
4/21/2021,14100,Call,1740
4/21/2021,14100,Put,211
4/21/2021,14200,Call,1640
4/21/2021,14200,Put,220
4/21/2021,14300,Call,1570
4/21/2021,14300,Put,246
4/21/2021,14400,Call,1490
4/21/2021,14400,Put,269
4/21/2021,14500,Call,1420
4/21/2021,14500,Put,293
4/21/2021,14600,Call,1330
4/21/2021,14600,Put,300
4/21/2021,14700,Call,1230
4/21/2021,14700,Put,306
4/21/2021,14800,Call,1160
4/21/2021,14800,Put,332
4/21/2021,14900,Call,1090
4/21/2021,14900,Put,360
4/21/2021,15000,Call,1030
4/21/2021,15000,Put,401
4/21/2021,15100,Call,970
4/21/2021,15100,Put,445
4/21/2021,15200,Call,885
4/21/2021,15200,Put,457
4/21/2021,15300,Call,805
4/21/2021,15300,Put,480
4/21/2021,15400,Call,745
4/21/2021,15400,Put,520
4/21/2021,15500,Call,695
4/21/2021,15500,Put,570
4/21/2021,15600,Call,645
4/21/2021,15600,Put,620
4/21/2021,15700,Call,580
4/21/2021,15700,Put,655
4/21/2021,15800,Call,540
4/21/2021,15800,Put,715
4/21/2021,15900,Call,480
4/21/2021,15900,Put,755
4/21/2021,16000,Call,455
4/21/2021,16000,Put,825
4/21/2021,16100,Call,385
4/21/2021,16100,Put,855
4/21/2021,16200,Call,355
4/21/2021,16200,Put,925
4/21/2021,16300,Call,310
4/21/2021,16300,Put,980
4/21/2021,16400,Call,285
4/21/2021,16400,Put,1060
4/21/2021,16500,Call,251
4/21/2021,16500,Put,1120
4/21/2021,16600,Call,227
4/21/2021,16600,Put,1200
4/21/2021,16700,Call,205
4/21/2021,16700,Put,1280
4/21/2021,16800,Call,178
4/21/2021,16800,Put,1350
4/21/2021,16900,Call,155
4/21/2021,16900,Put,1430
4/21/2021,17000,Call,134
4/21/2021,17000,Put,1510
4/21/2021,17100,Call,115
4/21/2021,17100,Put,1590
4/21/2021,17200,Call,103
4/21/2021,17200,Put,1670
4/21/2021,17300,Call,91
4/21/2021,17300,Put,1760
4/21/2021,17400,Call,81
4/21/2021,17400,Put,1850
4/21/2021,17500,Call,72
4/21/2021,17500,Put,1940
4/21/2021,17600,Call,64
4/21/2021,17600,Put,2030
4/21/2021,17700,Call,57
4/21/2021,17700,Put,2130
4/21/2021,17800,Call,40
4/21/2021,17800,Put,2210
4/21/2021,17900,Call,37.5
4/21/2021,17900,Put,2310
4/21/2021,18000,Call,36
4/21/2021,18000,Put,2410
4/21/2021,18100,Call,35
4/21/2021,18100,Put,2500
4/21/2021,18200,Call,34
4/21/2021,18200,Put,2600
4/21/2021,18300,Call,33
4/21/2021,18300,Put,2700
4/21/2021,18400,Call,32
4/21/2021,18400,Put,2800
4/21/2021,18500,Call,28
4/21/2021,18500,Put,2900
4/21/2021,18600,Call,25
4/21/2021,18600,Put,2990
6/16/2021,9600,Call,5940
6/16/2021,9600,Put,47.5
6/16/2021,9800,Call,5740
6/16/2021,9800,Put,50
6/16/2021,10000,Call,5550
6/16/2021,10000,Put,52
6/16/2021,10200,Call,5350
6/16/2021,10200,Put,55
6/16/2021,10400,Call,5160
6/16/2021,10400,Put,60
6/16/2021,10600,Call,4960
6/16/2021,10600,Put,64
6/16/2021,10800,Call,4760
6/16/2021,10800,Put,68
6/16/2021,11000,Call,4570
6/16/2021,11000,Put,75
6/16/2021,11200,Call,4370
6/16/2021,11200,Put,77
6/16/2021,11400,Call,4190
6/16/2021,11400,Put,89
6/16/2021,11600,Call,3990
6/16/2021,11600,Put,91
6/16/2021,11800,Call,3800
6/16/2021,11800,Put,101
6/16/2021,12000,Call,3610
6/16/2021,12000,Put,111
6/16/2021,12200,Call,3430
6/16/2021,12200,Put,128
6/16/2021,12400,Call,3250
6/16/2021,12400,Put,148
6/16/2021,12600,Call,3070
6/16/2021,12600,Put,170
6/16/2021,12800,Call,2890
6/16/2021,12800,Put,190
6/16/2021,13000,Call,2710
6/16/2021,13000,Put,209
6/16/2021,13200,Call,2520
6/16/2021,13200,Put,219
6/16/2021,13400,Call,2350
6/16/2021,13400,Put,245
6/16/2021,13600,Call,2180
6/16/2021,13600,Put,276
6/16/2021,13800,Call,2010
6/16/2021,13800,Put,310
6/16/2021,14000,Call,1840
6/16/2021,14000,Put,335
6/16/2021,14200,Call,1690
6/16/2021,14200,Put,380
6/16/2021,14400,Call,1530
6/16/2021,14400,Put,427
6/16/2021,14600,Call,1390
6/16/2021,14600,Put,479
6/16/2021,14800,Call,1250
6/16/2021,14800,Put,545
6/16/2021,15000,Call,1120
6/16/2021,15000,Put,615
6/16/2021,15200,Call,995
6/16/2021,15200,Put,685
6/16/2021,15400,Call,860
6/16/2021,15400,Put,750
6/16/2021,15600,Call,760
6/16/2021,15600,Put,850
6/16/2021,15800,Call,665
6/16/2021,15800,Put,955
6/16/2021,16000,Call,575
6/16/2021,16000,Put,1070
6/16/2021,16200,Call,497
6/16/2021,16200,Put,1190
6/16/2021,16400,Call,425
6/16/2021,16400,Put,1310
6/16/2021,16600,Call,359
6/16/2021,16600,Put,1450
6/16/2021,16800,Call,298
6/16/2021,16800,Put,1590
6/16/2021,17000,Call,245
6/16/2021,17000,Put,1730
6/16/2021,17200,Call,201
6/16/2021,17200,Put,1890
6/16/2021,17400,Call,164
6/16/2021,17400,Put,2050
6/16/2021,17600,Call,132
6/16/2021,17600,Put,2220
6/16/2021,17800,Call,115
6/16/2021,17800,Put,2400
6/16/2021,18000,Call,100
6/16/2021,18000,Put,2580
6/16/2021,18200,Call,83
6/16/2021,18200,Put,2770
6/16/2021,18400,Call,68
6/16/2021,18400,Put,2950
6/16/2021,18600,Call,56
6/16/2021,18600,Put,3140
6/16/2021,18800,Call,45.5
6/16/2021,18800,Put,3330
6/16/2021,19000,Call,37
6/16/2021,19000,Put,3520
6/16/2021,19200,Call,30
6/16/2021,19200,Put,3710
6/16/2021,19400,Call,26
6/16/2021,19400,Put,3910
9/15/2021,11200,Call,4030
9/15/2021,11200,Put,168
9/15/2021,11400,Call,3850
9/15/2021,11400,Put,185
9/15/2021,11600,Call,3670
9/15/2021,11600,Put,206
9/15/2021,11800,Call,3500
9/15/2021,11800,Put,230
9/15/2021,12000,Call,3310
9/15/2021,12000,Put,244
9/15/2021,12200,Call,3130
9/15/2021,12200,Put,260
9/15/2021,12400,Call,2940
9/15/2021,12400,Put,276
9/15/2021,12600,Call,2790
9/15/2021,12600,Put,317
9/15/2021,12800,Call,2610
9/15/2021,12800,Put,341
9/15/2021,13000,Call,2450
9/15/2021,13000,Put,380
9/15/2021,13200,Call,2290
9/15/2021,13200,Put,419
9/15/2021,13400,Call,2130
9/15/2021,13400,Put,461
9/15/2021,13600,Call,1980
9/15/2021,13600,Put,505
9/15/2021,13800,Call,1830
9/15/2021,13800,Put,555
9/15/2021,14000,Call,1690
9/15/2021,14000,Put,610
9/15/2021,14200,Call,1550
9/15/2021,14200,Put,670
9/15/2021,14400,Call,1410
9/15/2021,14400,Put,730
9/15/2021,14600,Call,1310
9/15/2021,14600,Put,830
9/15/2021,14800,Call,1210
9/15/2021,14800,Put,930
9/15/2021,15000,Call,1080
9/15/2021,15000,Put,1000
9/15/2021,15200,Call,980
9/15/2021,15200,Put,1100
9/15/2021,15400,Call,860
9/15/2021,15400,Put,1180
9/15/2021,15600,Call,770
9/15/2021,15600,Put,1290
9/15/2021,15800,Call,685
9/15/2021,15800,Put,1400
9/15/2021,16000,Call,610
9/15/2021,16000,Put,1520
9/15/2021,16200,Call,530
9/15/2021,16200,Put,1640
9/15/2021,16400,Call,458
9/15/2021,16400,Put,1770
9/15/2021,16600,Call,391
9/15/2021,16600,Put,1900
9/15/2021,16800,Call,351
9/15/2021,16800,Put,2060
9/15/2021,17000,Call,315
9/15/2021,17000,Put,2220
9/15/2021,17200,Call,279
9/15/2021,17200,Put,2390
9/15/2021,17400,Call,248
9/15/2021,17400,Put,2550
9/15/2021,17600,Call,219
9/15/2021,17600,Put,2720
9/15/2021,17800,Call,192
9/15/2021,17800,Put,2900
9/15/2021,18000,Call,167
9/15/2021,18000,Put,3070
9/15/2021,18200,Call,146
9/15/2021,18200,Put,3250
9/15/2021,18400,Call,127
9/15/2021,18400,Put,3430
9/15/2021,18600,Call,110
9/15/2021,18600,Put,3610
9/15/2021,18800,Call,95
9/15/2021,18800,Put,3790
9/15/2021,19000,Call,82
9/15/2021,19000,Put,3980
9/15/2021,19200,Call,71
9/15/2021,19200,Put,4170
9/15/2021,19400,Call,61
9/15/2021,19400,Put,4360
